Top 1(#), Top 5(#), Top 10(#), MAP(#), MRR(#), Instances(#), Top 1(%), Top 5(%), Top 10(%), MAP(%), MRR(%)
EUCLID, 0, 0, 0, 9.07, 9.07, 466, 0.00, 0.00, 0.00, 1.95, 1.95
HAMMING, 0, 0, 0, 9.07, 9.07, 466, 0.00, 0.00, 0.00, 1.95, 1.95
WONG1, 0, 0, 0, 9.07, 9.07, 466, 0.00, 0.00, 0.00, 1.95, 1.95
OCHIAI, 0, 0, 0, 3.25, 3.25, 466, 0.00, 0.00, 0.00, 0.70, 0.70
OCHIAI2, 0, 0, 0, 3.24, 3.24, 466, 0.00, 0.00, 0.00, 0.70, 0.70
KULCZYNSKI2, 0, 0, 0, 3.20, 3.20, 466, 0.00, 0.00, 0.00, 0.69, 0.69
ZOLTAR, 0, 0, 0, 3.19, 3.19, 466, 0.00, 0.00, 0.00, 0.69, 0.69
TARANTULA, 0, 0, 0, 3.19, 3.19, 466, 0.00, 0.00, 0.00, 0.68, 0.68
OVERLAP, 0, 0, 0, 1.23, 1.23, 466, 0.00, 0.00, 0.00, 0.26, 0.26
ROGERSTANIMOTO, 47, 103, 156, 78.45, 78.45, 466, 10.09, 22.10, 33.48, 16.84, 16.84
HAMANN, 47, 103, 156, 78.45, 78.45, 466, 10.09, 22.10, 33.48, 16.84, 16.84
SIMPLEMATCHING, 47, 103, 156, 78.45, 78.45, 466, 10.09, 22.10, 33.48, 16.84, 16.84
SOKAL, 47, 103, 156, 78.45, 78.45, 466, 10.09, 22.10, 33.48, 16.84, 16.84
M1, 47, 103, 156, 78.45, 78.45, 466, 10.09, 22.10, 33.48, 16.84, 16.84
M2, 54, 163, 242, 106.75, 106.75, 466, 11.59, 34.98, 51.93, 22.91, 22.91
JACCARD, 54, 163, 242, 106.75, 106.75, 466, 11.59, 34.98, 51.93, 22.91, 22.91
GOODMAN, 54, 163, 242, 106.75, 106.75, 466, 11.59, 34.98, 51.93, 22.91, 22.91
ANDERBERG, 54, 163, 242, 106.75, 106.75, 466, 11.59, 34.98, 51.93, 22.91, 22.91
DICE, 54, 163, 242, 106.75, 106.75, 466, 11.59, 34.98, 51.93, 22.91, 22.91
RUSSELLRAO, 54, 163, 242, 106.75, 106.75, 466, 11.59, 34.98, 51.93, 22.91, 22.91
KULCZYNSKI1, 54, 163, 242, 106.75, 106.75, 466, 11.59, 34.98, 51.93, 22.91, 22.91
SORENSENDICE, 54, 163, 242, 106.75, 106.75, 466, 11.59, 34.98, 51.93, 22.91, 22.91
AMPLE, 54, 163, 241, 106.50, 106.50, 466, 11.59, 34.98, 51.72, 22.85, 22.85
WONG3, 54, 124, 191, 92.87, 92.87, 466, 11.59, 26.61, 40.99, 19.93, 19.93
WONG2, 54, 124, 191, 92.86, 92.86, 466, 11.59, 26.61, 40.99, 19.93, 19.93
