Top 1(#), Top 5(#), Top 10(#), MAP(#), MRR(#), Instances(#), Top 1(%), Top 5(%), Top 10(%), MAP(%), MRR(%)
FIFTH_FAILED_TEST, 0, 16, 16, 5.43, 5.43, 25, 0.00, 64.00, 64.00, 21.74, 21.74
FOURTH_FAILED_TEST, 0, 16, 16, 5.43, 5.43, 25, 0.00, 64.00, 64.00, 21.72, 21.72
EXTRA_PASSED_TESTS_3, 16, 114, 230, 72.56, 72.56, 925, 1.73, 12.32, 24.86, 7.84, 7.84
EXTRA_PASSED_TESTS_2, 16, 66, 228, 67.40, 67.40, 925, 1.73, 7.14, 24.65, 7.29, 7.29
FIRST_FAILED_TEST, 16, 41, 171, 51.62, 51.62, 925, 1.73, 4.43, 18.49, 5.58, 5.58
EXTRA_PASSED_TESTS_1, 16, 66, 259, 69.40, 69.40, 925, 1.73, 7.14, 28.00, 7.50, 7.50
EXTRA_PASSED_TESTS_5, 16, 143, 266, 83.33, 83.33, 900, 1.78, 15.89, 29.56, 9.26, 9.26
EXTRA_PASSED_TESTS_4, 16, 116, 223, 71.97, 71.97, 900, 1.78, 12.89, 24.78, 8.00, 8.00
EXTRA_PASSED_TESTS_6, 64, 191, 227, 120.93, 120.93, 900, 7.11, 21.22, 25.22, 13.44, 13.44
EXTRA_PASSED_TESTS_9, 96, 207, 263, 157.69, 157.69, 900, 10.67, 23.00, 29.22, 17.52, 17.52
EXTRA_PASSED_TESTS_7, 96, 239, 275, 156.77, 156.77, 900, 10.67, 26.56, 30.56, 17.42, 17.42
EXTRA_PASSED_TESTS_8, 96, 207, 247, 149.79, 149.79, 900, 10.67, 23.00, 27.44, 16.64, 16.64
EXTRA_PASSED_TESTS_10, 96, 198, 254, 152.11, 152.11, 800, 12.00, 24.75, 31.75, 19.01, 19.01
COMPLETE, 135, 295, 313, 203.16, 203.16, 925, 14.59, 31.89, 33.84, 21.96, 21.96
SECOND_FAILED_TEST, 80, 196, 214, 126.62, 126.62, 475, 16.84, 41.26, 45.05, 26.66, 26.66
THIRD_FAILED_TEST, 70, 119, 137, 88.79, 88.79, 300, 23.33, 39.67, 45.67, 29.60, 29.60
