, Top 1(#), Top 5(#), Top 10(#), MAP(#), MRR(#), Instances(#), Top 1(%), Top 5(%), Top 10(%), MAP(%), MRR(%)
DICE, 223, 952, 1441, 306.09, 420.31, 2040, 10.93, 30.34, 42.75, 15.00, 20.60
KULCZYNSKI1, 223, 952, 1441, 306.09, 420.31, 2040, 10.93, 30.34, 42.75, 15.00, 20.60
SORENSENDICE, 223, 952, 1441, 306.09, 420.31, 2040, 10.93, 30.34, 42.75, 15.00, 20.60
GOODMAN, 223, 952, 1441, 306.09, 420.31, 2040, 10.93, 30.34, 42.75, 15.00, 20.60
ANDERBERG, 223, 952, 1441, 306.09, 420.31, 2040, 10.93, 30.34, 42.75, 15.00, 20.60
JACCARD, 223, 952, 1441, 306.09, 420.31, 2040, 10.93, 30.34, 42.75, 15.00, 20.60
M2, 203, 870, 1282, 279.93, 389.17, 2040, 9.95, 28.19, 38.87, 13.72, 19.08
RUSSELLRAO, 202, 861, 1263, 275.39, 384.87, 2040, 9.90, 27.94, 38.33, 13.50, 18.87
AMPLE, 173, 803, 1124, 242.49, 339.01, 2040, 8.48, 25.49, 32.84, 11.89, 16.62
WONG3, 113, 477, 762, 143.67, 210.75, 2040, 5.54, 15.29, 21.57, 7.04, 10.33
WONG2, 107, 453, 727, 135.92, 204.08, 2040, 5.25, 14.61, 20.93, 6.66, 10.00
SIMPLEMATCHING, 99, 435, 667, 122.55, 190.37, 2040, 4.85, 13.73, 19.66, 6.01, 9.33
HAMANN, 99, 435, 667, 122.55, 190.37, 2040, 4.85, 13.73, 19.66, 6.01, 9.33
SOKAL, 99, 435, 667, 122.55, 190.37, 2040, 4.85, 13.73, 19.66, 6.01, 9.33
ROGERSTANIMOTO, 99, 435, 667, 122.55, 190.37, 2040, 4.85, 13.73, 19.66, 6.01, 9.33
M1, 99, 435, 667, 122.55, 190.37, 2040, 4.85, 13.73, 19.66, 6.01, 9.33
OCHIAI2, 0, 16, 88, 21.69, 21.56, 2040, 0.00, 0.78, 3.28, 1.06, 1.06
OCHIAI, 0, 16, 88, 21.57, 21.42, 2040, 0.00, 0.78, 3.28, 1.06, 1.05
TARANTULA, 0, 16, 87, 22.00, 21.62, 2040, 0.00, 0.78, 3.24, 1.08, 1.06
EUCLID, 0, 144, 242, 63.47, 62.80, 2040, 0.00, 5.44, 7.11, 3.11, 3.08
WONG1, 0, 144, 242, 63.47, 62.80, 2040, 0.00, 5.44, 7.11, 3.11, 3.08
KULCZYNSKI2, 0, 16, 88, 21.41, 21.24, 2040, 0.00, 0.78, 3.28, 1.05, 1.04
OVERLAP, 0, 0, 0, 9.76, 8.97, 2040, 0.00, 0.00, 0.00, 0.48, 0.44
HAMMING, 0, 144, 242, 63.47, 62.80, 2040, 0.00, 5.44, 7.11, 3.11, 3.08
ZOLTAR, 0, 16, 88, 21.56, 21.42, 2040, 0.00, 0.78, 3.28, 1.06, 1.05
