Top 1(#), Top 5(#), Top 10(#), MAP(#), MRR(#), Instances(#), Top 1(%), Top 5(%), Top 10(%), MAP(%), MRR(%)
Math::93, 0, 396, 464, 92.49, 78.48, 300, 0.00, 48.00, 53.33, 30.83, 26.16
Lang::28, 0, 261, 357, 92.30, 76.18, 300, 0.00, 44.33, 60.67, 30.77, 25.39
Lang::4, 0, 189, 387, 61.20, 80.63, 300, 0.00, 63.00, 68.00, 20.40, 26.88
Lang::35, 0, 192, 240, 57.90, 102.14, 300, 0.00, 64.00, 70.67, 19.30, 34.05
Math::102, 0, 256, 512, 76.22, 72.93, 400, 0.00, 64.00, 64.00, 19.05, 18.23
Lang::1, 0, 324, 324, 53.90, 37.19, 300, 0.00, 36.00, 36.00, 17.97, 12.40
Math::90, 0, 54, 54, 17.56, 17.56, 100, 0.00, 54.00, 54.00, 17.56, 17.56
Lang::31, 0, 235, 235, 56.87, 56.87, 325, 0.00, 72.31, 72.31, 17.50, 17.50
Math::15, 0, 99, 99, 50.32, 50.32, 300, 0.00, 33.00, 33.00, 16.77, 16.77
Math::8, 0, 80, 80, 20.40, 20.40, 125, 0.00, 64.00, 64.00, 16.32, 16.32
Time::1, 0, 216, 216, 46.62, 54.45, 300, 0.00, 36.00, 36.00, 15.54, 18.15
Time::5, 0, 357, 591, 48.11, 52.90, 350, 0.00, 48.00, 48.00, 13.75, 15.11
Lang::12, 0, 52, 124, 22.70, 22.70, 175, 0.00, 29.71, 70.86, 12.97, 12.97
Lang::50, 0, 127, 359, 38.33, 60.98, 325, 0.00, 39.08, 52.00, 11.79, 18.76
Mockito::2, 0, 102, 156, 41.07, 41.07, 350, 0.00, 29.14, 44.57, 11.73, 11.73
Lang::14, 0, 144, 144, 35.08, 35.08, 300, 0.00, 48.00, 48.00, 11.69, 11.69
Math::77, 0, 0, 0, 37.88, 14.86, 325, 0.00, 0.00, 0.00, 11.65, 4.57
Lang::55, 0, 0, 104, 16.53, 11.79, 150, 0.00, 0.00, 34.67, 11.02, 7.86
Time::14, 0, 131, 179, 43.94, 43.94, 400, 0.00, 32.75, 44.75, 10.98, 10.98
Math::92, 0, 9, 214, 32.54, 28.09, 300, 0.00, 3.00, 35.33, 10.85, 9.36
Lang::37, 0, 0, 254, 31.09, 22.78, 300, 0.00, 0.00, 42.33, 10.36, 7.59
Math::36, 0, 121, 127, 33.54, 62.62, 325, 0.00, 37.23, 37.23, 10.32, 19.27
Mockito::32, 0, 9, 185, 29.94, 29.94, 300, 0.00, 3.00, 61.67, 9.98, 9.98
