Top 1(#), Top 5(#), Top 10(#), MAP(#), MRR(#), Instances(#), Top 1(%), Top 5(%), Top 10(%), MAP(%), MRR(%)
THIRD_FAILED_TEST, 28, 237, 376, 51.04, 81.01, 800, 3.50, 18.13, 21.50, 6.38, 10.13
SECOND_FAILED_TEST, 81, 491, 754, 140.17, 180.86, 1825, 4.44, 18.03, 21.48, 7.68, 9.91
EXTRA_PASSED_TESTS_9, 161, 838, 1312, 267.67, 351.02, 3475, 4.63, 15.57, 22.96, 7.70, 10.10
EXTRA_PASSED_TESTS_6, 177, 829, 1298, 275.60, 366.58, 3750, 4.72, 14.16, 21.52, 7.35, 9.78
EXTRA_PASSED_TESTS_7, 183, 854, 1311, 280.72, 372.78, 3675, 4.98, 15.13, 22.23, 7.64, 10.14
EXTRA_PASSED_TESTS_5, 194, 863, 1286, 281.10, 381.36, 3850, 5.04, 14.31, 20.65, 7.30, 9.91
FIFTH_FAILED_TEST, 24, 110, 180, 36.54, 51.73, 475, 5.05, 16.21, 22.95, 7.69, 10.89
EXTRA_PASSED_TESTS_8, 185, 873, 1313, 284.35, 377.31, 3650, 5.07, 15.51, 22.49, 7.79, 10.34
FIRST_FAILED_TEST, 224, 954, 1497, 302.27, 448.32, 4350, 5.15, 14.44, 21.36, 6.95, 10.31
FOURTH_FAILED_TEST, 35, 195, 342, 50.62, 80.23, 675, 5.19, 19.85, 26.07, 7.50, 11.89
EXTRA_PASSED_TESTS_10, 174, 857, 1294, 275.50, 358.96, 3350, 5.19, 16.54, 23.52, 8.22, 10.72
EXTRA_PASSED_TESTS_1, 228, 950, 1490, 310.87, 447.98, 4350, 5.24, 14.44, 21.06, 7.15, 10.30
COMPLETE, 231, 943, 1509, 357.44, 449.31, 4350, 5.31, 14.57, 20.34, 8.22, 10.33
EXTRA_PASSED_TESTS_4, 220, 929, 1392, 297.43, 429.02, 4025, 5.47, 15.16, 21.59, 7.39, 10.66
EXTRA_PASSED_TESTS_3, 238, 977, 1473, 309.45, 460.12, 4150, 5.73, 15.98, 22.02, 7.46, 11.09
EXTRA_PASSED_TESTS_2, 248, 963, 1477, 314.27, 469.64, 4250, 5.84, 15.41, 21.88, 7.39, 11.05
