GOODMAN,,,,
REAL,,,,
# of passed Tests, Top-1, Top-5, MAP, MRR
1, 11, 28, 14, 20
2, 12, 29, 14, 21
3, 11, 31, 14, 21
4, 12, 30, 15, 21
5, 11, 29, 15, 20
6, 10, 29, 15, 20
7, 11, 31, 16, 21
8, 11, 32, 16, 21
9, 10, 32, 16, 20
10, 11, 34, 17, 22

HAMANN,,,,
REAL,,,,
# of passed Tests, Top-1, Top-5, MAP, MRR
1, 5, 13, 6, 10
2, 6, 14, 6, 11
3, 6, 16, 6, 11
4, 5, 14, 6, 10
5, 5, 12, 6, 8
6, 5, 13, 6, 9
7, 5, 14, 6, 9
8, 5, 14, 6, 9
9, 4, 14, 6, 9
10, 5, 15, 7, 10

EUCLID,,,,
REAL,,,,
# of passed Tests, Top-1, Top-5, MAP, MRR
1, 0, 6, 3, 3
2, 0, 6, 3, 3
3, 0, 5, 3, 3
4, 0, 6, 3, 3
5, 0, 5, 3, 3
6, 0, 5, 3, 3
7, 0, 5, 3, 3
8, 0, 5, 3, 3
9, 0, 5, 3, 3
10, 0, 4, 3, 3

GOODMAN,,,,
ARTIFICIAL,,,,
# of passed Tests, Top-1, Top-5, MAP, MRR
1, 3, 14, 12, 12
2, 3, 14, 12, 12
3, 3, 22, 13, 13
4, 3, 22, 13, 13
5, 3, 31, 16, 16
6, 11, 39, 23, 23
7, 17, 47, 29, 29
8, 17, 42, 28, 28
9, 17, 42, 29, 29
10, 19, 44, 31, 31

HAMANN,,,,
ARTIFICIAL,,,,
# of passed Tests, Top-1, Top-5, MAP, MRR
1, 3, 8, 10, 10
2, 3, 8, 9, 9
3, 3, 16, 10, 10
4, 3, 17, 10, 10
5, 3, 17, 11, 11
6, 11, 25, 17, 17
7, 17, 33, 23, 23
8, 17, 28, 22, 22
9, 17, 28, 23, 23
10, 19, 31, 26, 26

EUCLID,,,,
ARTIFICIAL,,,,
# of passed Tests, Top-1, Top-5, MAP, MRR
1, 0, 0, 2, 2
2, 0, 0, 2, 2
3, 0, 0, 2, 2
4, 0, 0, 2, 2
5, 0, 0, 2, 2
6, 0, 0, 2, 2
7, 0, 0, 2, 2
8, 0, 0, 2, 2
9, 0, 0, 2, 2
10, 0, 0, 2, 2

